TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.0292871,0.0635658,0.0328261,0.0298874,0.0180321,0.00627956,0.00577349,0.187696,1.22019,1.2055,0.15697,0,0.00243071,0.030763,0.0891627,0.0374171,0.020857,0.0130042,0.00624397,0.00674787,0.264898,1.36586,1.15745,0.0947483,0,0.00128735,0.0138568,0.0289782,0.02477,0.0288573,0.016424,0.0081317,0.00941949,0.329098,1.52882,1.13632,0.0602714,0,0.0015034,0.0169333,0.0294575,0.0109862,0.00445775,0.00564791,0.00285094,0.00277081,0.441782,1.62986,1.03569,0.0503057,7.5572e-05,0.00152054,0.0105475,0.0141057,0.00638871,0.00368784,0.00325196,0.0096729,0.006988,0.552952,1.6632,0.975516,0.0320179,0.00207577,0.00116047,0.00071351,0.000552863,0.00556885,0.0168334,0.0129317,0.00350246,0.00847758,0.683903,1.75868,0.875612,0.0165723,8.33415e-07,2.98937e-05,0.0011141,0.0100059,0.0167146
1.486077098,0.0578522,0.11727,0.0548225,0.0298874,0.0180321,0.00627956,0.00577349,0.209118,1.59988,1.51569,0.207263,0,0.00243071,0.0586454,0.131182,0.0456038,0.020857,0.0130042,0.00624397,0.00674787,0.299501,1.67033,1.36173,0.113681,0,0.00521372,0.0529367,0.0790011,0.0330938,0.0288573,0.016424,0.0081317,0.00941949,0.368566,1.7293,1.27173,0.0678862,0,0.0015034,0.0250887,0.0404753,0.0256648,0.0434652,0.02765,0.00285094,0.00277081,0.507995,1.85894,1.21826,0.0509199,7.5572e-05,0.00412061,0.0191737,0.0208816,0.0305471,0.0458453,0.0214467,0.0096729,0.006988,0.666279,2.01978,1.2052,0.0320179,0.00207577,0.00498869,0.0154066,0.0130738,0.0386305,0.0671906,0.0320927,0.00350246,0.00847758,0.852091,2.21862,1.13681,0.0165723,8.33415e-07,0.00626626,0.0172432,0.020433,0.0554462
2.972154195,0.0578522,0.11727,0.0548225,0.0298874,0.0180321,0.00627956,0.00577349,0.221654,1.71715,1.70676,0.234673,0.00235961,0.00243071,0.0586454,0.131182,0.0456038,0.020857,0.0130042,0.00624397,0.00674787,0.316961,1.82387,1.51003,0.14219,0,0.00521372,0.0529367,0.0790011,0.0330938,0.0288573,0.016424,0.0081317,0.00941949,0.381487,1.89242,1.4825,0.121101,0.00347153,0.0015034,0.0250887,0.0404753,0.0256648,0.0434652,0.02765,0.00285094,0.00277081,0.53055,2.08297,1.47825,0.0927328,7.5572e-05,0.00412061,0.0191737,0.0208816,0.0305471,0.0458453,0.0214467,0.0096729,0.006988,0.711502,2.33034,1.42321,0.0455869,0.00207577,0.00498869,0.0154066,0.0130738,0.0386305,0.0671906,0.0320927,0.00350246,0.00885036,0.920865,2.57309,1.27693,0.0207293,8.33415e-07,0.00626626,0.0172432,0.020433,0.0554462
4.458231293,0.0578522,0.11727,0.0548225,0.0298874,0.0180321,0.00627956,0.00616549,0.279435,1.87897,1.80528,0.235696,0.00235961,0.00243071,0.0586454,0.131182,0.0456038,0.020857,0.0130042,0.00624397,0.011314,0.385778,1.99588,1.65187,0.14393,0,0.00521372,0.0529367,0.0790011,0.0330938,0.0288573,0.016424,0.0081317,0.020077,0.46186,2.06347,1.56819,0.122174,0.00347153,0.0015034,0.0250887,0.0404753,0.0256648,0.0434652,0.02765,0.00285094,0.00564286,0.618809,2.27055,1.54679,0.0927328,7.5572e-05,0.00412061,0.0191737,0.0208816,0.0305471,0.0458453,0.0214467,0.0096729,0.0139035,0.785097,2.48877,1.57538,0.0702174,0.00207577,0.00498869,0.0154066,0.0130738,0.0386305,0.0671906,0.0320927,0.00350246,0.0163966,0.995951,2.77866,1.43569,0.0296381,8.33415e-07,0.00626626,0.0172432,0.020433,0.0554462
5.944308390,0.0578522,0.11727,0.0558461,0.0303912,0.0180321,0.00627956,0.00616549,0.282075,1.95913,1.85783,0.243919,0.00235961,0.00243071,0.0586454,0.131265,0.0460464,0.0208997,0.0130042,0.00624397,0.011314,0.403424,2.09633,1.69782,0.148291,0,0.00521372,0.0529367,0.0790435,0.0343344,0.0289747,0.016424,0.0081317,0.020077,0.474326,2.17026,1.6179,0.124235,0.00347153,0.0015034,0.0250887,0.0404753,0.0256648,0.0434652,0.02765,0.00285094,0.00564286,0.630854,2.34714,1.59091,0.0943279,7.5572e-05,0.00412061,0.0191737,0.0208816,0.0305471,0.0458453,0.0214467,0.0096729,0.0144972,0.810207,2.57947,1.60581,0.072377,0.00207577,0.00498869,0.0154066,0.0130738,0.0386305,0.0671906,0.0320927,0.00350246,0.0168599,1.05702,2.88248,1.46841,0.0303496,8.33415e-07,0.00626626,0.0172432,0.020433,0.0554462
7.430385488,0.0596157,0.123976,0.0748234,0.048572,0.0633667,0.0411839,0.00616549,0.28252,1.96991,1.89052,0.256904,0.00820223,0.00830104,0.060495,0.141279,0.0646392,0.022441,0.0131922,0.00661023,0.011314,0.405062,2.12132,1.73168,0.153089,0.00760499,0.0142482,0.0529367,0.0806511,0.0412632,0.0301558,0.016424,0.0081317,0.020077,0.477561,2.21794,1.65843,0.127712,0.00347153,0.0015034,0.0250887,0.0457785,0.0386721,0.0458522,0.02765,0.00285094,0.00564286,0.638923,2.41195,1.64098,0.0975997,7.5572e-05,0.00412061,0.0191737,0.0270513,0.0507513,0.0488628,0.0214467,0.0096729,0.0144972,0.824944,2.65736,1.66757,0.0732961,0.00207577,0.00498869,0.0154066,0.0139644,0.0396259,0.0671906,0.0320927,0.00350246,0.0168599,1.07719,2.96118,1.49958,0.0310632,8.33415e-07,0.00626626,0.0172432,0.0223035,0.0568349
8.916462585,0.080087,0.127055,0.0748234,0.048572,0.0644724,0.0753052,0.0481948,0.296207,1.96991,1.96259,0.318257,0.020555,0.00830104,0.060495,0.141352,0.0777392,0.0759395,0.0597677,0.0250683,0.0249618,0.409522,2.12132,1.73168,0.153089,0.00760499,0.03544,0.0798664,0.090753,0.0464089,0.0651403,0.0649026,0.0202378,0.020077,0.477561,2.21794,1.67026,0.158659,0.028382,0.00628133,0.0310662,0.0580599,0.0420471,0.0458522,0.02765,0.00285094,0.0227733,0.66095,2.42242,1.64138,0.102523,0.0112744,0.00725452,0.0191737,0.0270513,0.0507513,0.053031,0.0288279,0.0161702,0.0144972,0.827521,2.65901,1.66784,0.0732961,0.00207577,0.00498869,0.0236856,0.0334136,0.0548209,0.0687866,0.0320927,0.00350246,0.0168599,1.08102,2.97951,1.51984,0.0325189,0.00353848,0.00806352,0.0172432,0.0402852,0.0659149
10.402539683,0.080087,0.127055,0.0748234,0.048572,0.29626,0.892569,0.626612,0.296207,1.96991,1.96259,0.318257,0.020555,0.00830104,0.060495,0.262066,0.560428,0.389985,0.0630741,0.0250683,0.0249618,0.409522,2.12132,1.73168,0.153089,0.162253,0.77292,0.752486,0.109911,0.0464089,0.0651403,0.0649026,0.0202378,0.020077,0.477561,2.26084,1.92321,0.451017,0.0400747,0.00628133,0.0310662,0.0580599,0.0420471,0.0458522,0.02765,0.0443665,0.44075,1.3231,2.4873,1.64138,0.102523,0.0112744,0.00725452,0.0191737,0.0270513,0.0526024,0.191191,0.358344,0.0567074,0.0144972,0.827521,2.65901,1.66784,0.0732961,0.00207577,0.00836109,0.26905,0.594495,0.183764,0.0687866,0.0320927,0.00350246,0.0168599,1.08102,2.97951,1.52006,0.118031,0.234908,0.06393,0.0172432,0.0402852,0.0659149
11.888616780,0.080087,0.127055,0.0748234,0.048572,0.421443,1.88089,1.17461,0.326153,1.96991,1.96259,0.318257,0.020555,0.00830104,0.060495,0.30722,1.03296,0.777667,0.0886332,0.0250683,0.0249618,0.409522,2.12132,1.73168,0.153089,0.205575,1.70128,1.62632,0.213742,0.0464089,0.0651403,0.0649026,0.0202378,0.020077,0.477561,2.29957,2.56861,1.14346,0.112313,0.00628133,0.0310662,0.0580599,0.0420471,0.0458522,0.02765,0.115407,1.58785,2.62745,2.69297,1.64138,0.102523,0.0112744,0.00725452,0.0191737,0.0270513,0.0755348,0.885138,1.15344,0.236295,0.0144972,0.827521,2.65901,1.66784,0.0732961,0.00207577,0.0364273,1.22877,2.27818,0.680137,0.0687866,0.0320927,0.00350246,0.0168599,1.08102,2.97951,1.52047,0.666485,1.38952,0.496052,0.0174082,0.0402852,0.0659149
