106.162,94.4969,68.7861,38.1812,11.5383,12.7473,43.8828,89.8859,126.743,119.635,74.9167,32.5359,9.90051,12.6739,36.3848,58.8433,73.1818,83.8582,88.0686,92.9243,94.5605,69.4096,27.7886,2.11272,8.79714,59.293,141.237,216.893,255.757,232.676,155.769,78.9812,35.8745,27.6017,47.4247,85.0217,143.075,209.47,262.458,296.714,284.494,221.165,144.814,67.1073,14.9826,17.4204,39.3025,48.3095,38.3681,15.7389,6.81911,14.4383,27.7381,41.7078,40.8692,30.6387,26.1725,23.3477,24.7392,27.0773,17.7583,6.54376,7.88284,32.7997,87.453,145.745,174.006,160.48,109.806,49.5008,11.0168,0.873359,9.94412,22.388,23.4149,22.0088,38.0617,68.1868,94.7339,100.506,76.4458,42.1732,20.2991,12.2529,21.7866,36.6127,30.9862,16.1152,12.5209,32.3924,88.7756,156.299,201.645,204.663,155.306,102.993,79.6101,55.8786,30.4445,12.7491,8.80927,33.971,78.7486,132.975,176.143,166.411,111.326,53.0111,14.2928,7.51857,26.139,47.8344,58.2101,54.559,53.9378,71.89,94.0247,100.654,90.9533,74.9962,59.7719,52.0133,61.8659,78.0166,73.545,46.8401,17.2774,3.23511,20.4848,72.5603,137.16,179.551,185.514,165.075,133.419,98.8712,58.7456,19.9141,4.7588,23.5731,75.4448,150.671,215.356,235.426,202.588,131.092,54.6683,8.72695,15.6754,70.5663,128.56,157.304,164.72,162.264,154.66,131.221,86.0235,41.5105,13.043,5.55635,17.5157,33.6122,42.5295,37.2672,24.5365,21.9438,32.7253,63.0271,117.042,165.759,184.647,184.135,174.149,154.578,127.86,95.7167,67.4397,60.4753,88.6474,151.549,228.908
129.589,109.107,78.3847,45.2397,9.10229,11.3021,49.5028,105.697,159.386,148.725,84.9443,34.317,7.61187,10.7771,41.0522,65.0734,78.8778,92.651,95.8558,100.746,113.372,87.1318,32.6948,2.63089,10.2515,75.5789,180.657,272.821,327.61,307.96,204.314,101.722,53.4285,45.8405,64.3737,98.733,170.066,248.795,300.92,349.538,340.399,252.396,166.952,80.1383,9.95823,17.7839,44.548,54.6837,47.6953,15.5903,4.83285,14.9468,28.8336,50.9162,47.4099,30.0889,28.4993,23.3249,25.1176,32.5821,19.5586,4.98183,6.22302,34.7911,107.177,180.677,212.994,200.577,137.405,59.1577,12.0532,0.144423,11.5328,27.2871,25.5953,19.4505,40.66,78.7099,111.249,122.131,89.9399,43.7502,19.9013,9.57027,21.7783,44.6795,34.7263,13.8203,10.3782,30.0587,104.339,184.519,233.799,247.332,176.306,102.998,88.9626,60.9991,30.0307,12.7713,5.19185,38.5373,88.4278,155.492,223.102,212.195,138.2,70.0469,25.2075,16.105,36.1343,58.4358,69.856,59.1084,53.794,79.4141,108.024,115.341,101.389,80.7833,63.0741,51.2447,65.049,92.2162,89.4527,57.5578,23.9548,8.30279,29.5744,93.1364,171.724,218.223,218.525,192.456,153.598,117,75.8745,29.9004,11.0792,32.4706,94.5732,190.648,270.944,292.03,253.72,166.261,72.0575,17.9333,27.2237,95.645,158.907,181.152,187.574,182.14,175.973,158.962,103.659,50.2919,20.6727,12.1631,24.9355,40.4829,51.7377,43.5543,23.3517,21.096,32.8426,67.5438,142.213,205.448,219.643,217.741,208.213,184.47,158.334,125.812,93.9302,88.4947,126.47,203.231,293.235
137.432,107.589,76.1428,47.8925,6.7276,9.79529,48.5734,106.646,173.301,160.793,82.2358,31.9873,5.08836,8.2452,41.055,61.6475,72.7685,87.9292,89.7438,92.3601,117.298,96.2333,33.7894,3.92329,12.441,85.7205,199.129,293.243,357.614,350.09,230.899,110.657,65.3222,63.4535,74.1237,96.1363,175.572,253.82,294.305,352.668,352.988,245.491,165.092,86.5863,6.27988,17.9683,43.6266,52.2185,53.0475,14.4256,2.99381,13.3384,25.4422,54.3069,48.6258,23.7542,27.7794,19.4449,21.7863,34.3821,19.2217,2.94803,4.11611,32.4454,115.23,192.65,222.227,215.608,149.057,61.5803,12.5125,0.29747,12.155,28.9589,24.6682,13.6671,38.0659,78.4258,111.856,127.934,92.495,38.3432,17.1198,5.79612,19.2639,47.7998,34.6619,9.29398,7.58902,23.3929,109.362,187.343,230.488,259.616,174.003,85.1493,86.932,58.3472,24.3464,12.449,2.04126,40.1972,84.2156,156.492,243.628,233.241,146.436,79.075,36.955,26.3958,42.3751,60.8207,72.7407,54.9869,44.6968,76.224,106.255,113.994,96.7507,74.5544,57.1135,42.7143,58.0917,94.8389,93.4302,61.0295,28.6715,14.3104,37.2803,103.532,184.651,228.454,219.114,193.404,150.887,118.344,85.0367,38.4824,18.328,38.4453,102.124,208.008,292.658,308.834,272.888,182.079,82.0323,28.4528,40.0781,112.928,168.806,177.888,183.281,175.492,169.882,167.309,107.919,51.4929,27.6277,20.1963,30.308,41.0315,54.7546,44.377,18.5307,17.2827,28.2309,61.6365,150.265,219.496,222.218,220.327,213.516,187.596,167.272,141.377,109.543,107.195,152.41,232.105,319.883
127.799,89.9329,63.226,44.8518,6.26159,9.42318,40.2021,94.3157,161.233,154.823,66.0985,27.4584,2.9481,5.59267,37.7863,48.2648,58.7719,69.6573,73.5648,69.7056,106.384,92.3764,32.0356,4.75237,15.2578,87.2754,188.236,273.7,331.193,349.044,222.789,105.221,65.0084,76.0521,73.3926,78.1334,158.115,222.012,245.57,304.897,318.502,202.963,139.596,84.3616,6.9696,18.7548,36.0278,42.615,51.8642,14.2848,2.50317,9.41626,19.9692,49.2643,46.0424,13.5561,25.0591,12.8618,15.9901,32.0964,17.1182,1.34409,2.06093,26.9519,109.131,177.84,197.656,201.154,139.716,57.1001,11.6146,1.61531,11.8272,26.2476,21.8512,7.09352,30.6143,68.4578,95.1946,117.009,82.8065,28.6632,12.2597,2.75993,15.4767,45.0536,30.8049,4.44727,5.26381,15.286,103.53,162.147,194.59,235.444,151.828,55.8957,74.4887,48.9155,15.5031,12.1365,1.61631,38.5679,67.3269,136.115,230.175,223.532,131.97,77.6709,44.5475,36.188,42.0351,54.4896,65.6132,44.0867,29.5904,64.7913,87.839,98.6871,77.3645,59.8418,42.9912,30.3485,43.3318,85.5907,83.4341,56.5606,29.169,19.6595,40.2844,100.795,170.666,207.155,186.601,168.088,125.906,102.877,82.8238,42.3886,24.6278,38.2812,96.7431,195.325,274.101,278.67,253.93,172.974,80.7352,37.1023,48.9076,118.004,153.5,149.897,151.988,146.334,136.947,155.186,96.3853,45.3439,30.9872,27.0029,32.4615,34.2398,51.5263,38.8018,12.4207,11.7979,20.441,48.265,138.023,203.656,190.764,191.73,187.358,163.592,150.597,137.445,108.353,109.463,158.201,226.308,301.039
103.98,62.5558,44.2246,36.7598,8.67251,9.86488,27.4413,73.0495,127.243,133.628,42.6749,22.1146,1.74768,3.57263,32.5389,29.7835,41.7063,44.3098,52.8955,41.368,84.5778,76.3,28.6657,4.22141,18.4814,79.2211,151.59,221.713,257.448,306.486,182.237,87.8502,52.145,80.0741,63.0311,52.3501,123.15,164.968,171.905,224.361,248.686,140.353,99.2835,73.4069,13.1871,19.5542,24.3806,29.4172,44.1486,16.3881,3.71628,4.73335,14.153,37.603,40.9537,4.25111,21.2294,6.08261,9.60061,26.6106,14.5342,0.396585,0.892406,19.7536,91.5147,141.582,148.135,162.758,111.927,48.0488,9.04505,4.09776,10.2736,20.4023,18.378,2.43565,20.6007,52.4187,67.2466,93.3794,64.6473,17.9455,6.88132,1.24674,12.3169,37.1893,24.264,1.41628,3.75711,9.88889,88.0108,118.228,138.739,183.121,118.314,26.2792,56.0287,35.3548,7.13328,11.6135,5.46501,33.5906,44.1275,101.526,187.354,187.596,99.3368,66.8086,44.2247,43.0575,34.7297,42.2818,50.7367,30.1136,14.262,49.0157,59.3525,74.9122,50.1367,41.6889,25.7758,18.0056,26.6741,67.477,62.8626,46.0225,24.7183,22.7464,36.822,86.2434,134.237,162.203,132.58,125.713,87.6707,76.392,69.8806,39.8789,27.8089,31.7125,80.4869,156.948,221.675,212.944,202.959,143.008,67.6215,41.1627,49.4548,109.734,118.152,107.509,104.486,105.08,89.1089,127.223,73.3148,34.1763,29.1417,30.2824,30.7234,22.8752,43.1606,28.8383,7.07121,6.63023,11.9984,32.636,109.498,163.575,136.932,142.073,139.322,120.938,114.474,115.293,91.0021,94.4449,141.931,187.439,243.887
73.3612,34.7322,25.3181,25.8853,13.1387,10.1319,14.9713,48.9469,83.4351,103.891,20.6488,16.9588,1.60511,2.73019,26.2433,13.1179,26.0994,20.7173,33.3246,17.5958,58.2751,53.4192,24.5429,2.49854,21.3414,63.1547,102.459,154.03,163.628,235.941,124.347,63.7964,32.3038,74.6018,47.5269,28.7198,81.4987,101.586,97.8259,138.205,166.103,78.227,57.2449,56.3372,22.5745,19.4697,12.65,16.8517,32.2448,20.4652,6.11383,1.30904,9.01775,23.7596,34.7559,0.0708881,17.1362,1.5603,4.34851,19.6605,12.7286,0.0229609,1.04824,12.2847,68.8854,95.4078,91.2322,113.38,74.3895,37.8902,5.26563,7.27158,7.53343,13.9503,15.168,1.09091,11.0628,35.4429,37.4754,64.933,44.3046,8.86894,2.81978,1.06333,10.9738,26.5616,16.7866,1.31734,3.02791,9.3072,66.6765,70.6023,80.4419,120.648,83.0501,6.29127,37.1876,21.2609,2.09703,11.0105,12.789,25.9347,22.7005,63.847,129.468,138.173,59.6641,50.4384,35.6712,45.1945,23.1149,28.5151,33.0682,16.9122,3.91862,33.199,30.7208,49.8279,24.4974,25.0077,11.1766,8.69973,13.7112,45.8213,38.9498,32.6223,16.878,22.59,27.6782,65.1288,87.1503,108.788,75.5608,79.327,49.7138,47.407,50.6631,31.6783,26.6156,21.2585,58.441,105.907,153.02,134.076,137.489,102.068,46.9728,39.202,40.9772,91.1011,74.7192,64.7077,56.6362,63.4984,43.9212,91.3798,47.3848,21.6661,22.5183,29.1804,25.4842,11.5575,31.9264,17.9804,3.67782,3.28639,5.27557,19.6765,73.8366,112.335,79.3909,87.4447,85.7763,73.6224,71.6184,82.3464,64.0591,68.1387,108.929,129.845,167.212
43.9755,14.7211,11.25,14.5125,18.2574,9.10098,6.77073,27.4565,43.0198,74.442,6.57789,12.3957,2.08076,2.65947,20.4189,2.99425,14.4658,5.72113,18.8008,4.44148,34.0721,31.1201,19.7708,0.646522,23.1767,42.5135,57.2802,89.6852,79.2346,159.794,67.5973,39.1514,14.2116,61.0441,33.4093,14.8306,43.6689,48.8286,44.2172,70.8122,92.0518,33.3155,25.4367,36.036,31.7914,17.1072,4.7979,7.72183,18.974,25.8606,8.72602,0.0899624,4.9921,11.5704,29.5279,2.62462,12.839,0.17712,1.41839,13.3354,11.9258,0.0860396,1.99729,6.35187,47.435,52.3334,45.2434,66.269,38.1645,29.8336,1.55747,10.381,4.29506,8.3612,13.2202,2.87622,4.04935,21.1367,15.2803,39.8283,26.7291,3.19905,0.9722,1.3061,11.7356,15.6896,10.6573,3.1224,2.81598,13.0314,43.9607,33.4191,34.9143,64.7338,54.6479,0.0881235,21.3974,9.98946,1.36834,10.752,20.7471,17.1446,8.24525,33.4637,74.5397,88.6339,26.6343,32.8077,22.2191,42.5277,11.4463,17.1699,17.6875,7.06454,0.0984044,21.2537,10.2582,28.4892,7.99947,13.1551,2.48634,3.48563,6.74207,26.956,18.3062,19.7797,9.04366,18.6057,16.56,43.8738,43.0006,62.7673,31.8704,39.7195,23.0683,24.7882,30.069,21.0217,21.497,10.2591,37.5309,57.5386,86.9681,67.2378,76.7184,61.2435,26.5584,31.104,26.8638,68.1875,36.2407,32.522,21.9525,30.3983,13.6686,58.2817,26.0049,10.9733,14.096,23.8325,18.8795,3.933,20.3882,9.49757,2.17584,2.34737,1.5118,11.3015,41.6852,64.3093,34.2954,43.1348,41.8159,34.6083,34.9571,49.1405,36.4312,39.9989,70.3022,71.9334,94.1818
22.6228,4.40916,3.43967,5.69473,22.0939,6.78488,3.08067,12.6762,15.3552,50.7681,2.72535,8.62998,2.43582,2.65424,15.765,0.53163,7.4126,0.431138,10.1876,2.0091,16.669,14.5075,14.2921,0.0949318,23.3237,22.7837,26.2845,42.1292,24.9093,96.2717,26.4927,19.6135,3.26908,44.0187,25.8502,10.8295,17.2833,16.4486,16.7072,33.4029,41.8406,9.99705,7.76187,17.5823,37.3515,12.7229,1.24657,2.85105,8.27181,30.6205,10.9491,0.360728,2.61795,3.63528,25.8698,10.109,9.03554,0.88586,0.3158,9.4052,11.9434,0.345864,2.68254,2.42085,31.5041,22.8374,17.9028,31.1302,12.8631,24.1278,0.154416,12.5148,1.69157,4.3766,12.4406,6.01716,0.549232,11.1008,4.36116,23.148,15.0414,0.81694,0.57008,1.2614,13.9494,7.47021,6.56909,4.6393,3.06356,18.6595,24.3954,11.919,9.40386,26.387,35.6709,3.98979,10.5491,3.29808,3.12919,11.6783,25.8435,9.41184,1.9939,14.3265,36.2243,49.9405,7.07522,17.9806,9.44564,35.8642,4.41329,9.7302,7.32759,1.79853,1.045,14.0958,1.10826,13.7468,1.99997,6.64611,0.000634193,1.79904,4.49971,13.9332,5.36227,10.3519,3.35919,12.1593,7.34796,27.2277,13.3577,31.9848,8.13495,14.1073,10.6942,12.4035,13.3939,11.2686,14.4351,2.36572,21.5536,23.4261,38.1348,25.4167,34.0851,30.4133,11.4781,19.6064,12.5417,46.8519,12.9113,13.9435,4.6628,10.3365,1.21591,34.5179,13.1064,4.03639,6.82424,16.2615,13.1378,0.955586,11.0268,4.80666,1.59464,3.12423,0.707045,6.86108,19.1724,29.6878,9.32234,16.1751,14.9939,10.962,11.9013,23.9167,15.7608,18.3021,36.8425,29.0634,41.4257
11.7555,0.862109,0.509397,1.45195,22.8895,4.90333,1.80031,5.00343,2.87876,34.5173,6.01861,5.87115,2.15691,2.46885,12.4222,2.81713,4.08688,1.12821,6.21945,5.29602,6.9493,5.11403,8.73117,1.48407,21.2975,9.20137,10.3326,15.3756,3.96969,53.4067,6.14768,7.67484,0.0132309,28.9335,25.584,11.7449,4.2522,3.25185,8.30504,22.1207,18.0771,1.98619,1.25145,5.89544,36.5068,8.50852,0.28919,1.23685,2.77983,32.532,13.325,0.843371,1.71278,0.588214,23.7936,18.1076,6.45942,1.82227,0.164877,8.28888,12.046,0.721106,2.51647,0.351378,21.7627,9.9205,6.59817,10.9653,1.60506,19.7253,2.9613,12.8127,0.596334,2.13621,11.9701,8.51994,0.116784,5.21922,2.18298,15.5275,9.53741,0.23076,0.44753,1.29039,15.8691,3.57384,4.34453,4.36984,3.88013,22.3835,11.6267,3.18218,1.04702,7.24622,23.929,10.0748,4.82012,0.63333,4.5807,14.4649,26.0346,4.28947,1.61595,5.09232,17.5936,26.1726,0.312864,8.09198,1.91609,26.9167,4.03725,5.63673,2.17072,0.347705,3.4389,10.5165,0.456189,5.79635,2.60518,4.16753,1.19972,1.86213,4.02199,6.70745,0.479271,4.95511,0.579371,5.84088,2.34926,17.0615,1.97947,15.7179,0.819355,3.11476,8.15821,8.81965,3.92485,4.57328,7.68401,0.0413099,11.0304,6.33752,11.4315,7.33271,12.715,13.1556,3.17965,8.88442,3.04252,30.749,6.64872,5.8269,0.104257,2.05704,1.03702,21.2613,7.75963,1.15294,2.24108,9.30805,9.63662,1.02791,5.0699,3.26291,1.19404,4.2694,1.61476,4.40819,6.82099,10.7622,1.78385,4.6735,3.61737,1.75811,2.28187,9.6708,5.11795,6.62053,14.6453,6.9033,13.378
4.4099,0.264768,0.501297,0.348962,29.5859,2.48513,1.16676,0.334752,0.100179,34.5019,6.1611,5.79463,1.14549,1.09996,16.2329,2.2019,5.75159,3.83717,3.05042,13.482,0.77265,0.263068,7.66928,1.93582,25.7788,1.2808,2.10593,4.78707,1.35718,41.7993,0.192101,1.00682,3.76814,11.8792,41.2036,6.41,3.58835,1.67296,7.28625,34.3189,6.13427,0.148108,0.628881,0.409195,40.428,2.9152,0.575685,0.289603,0.432719,41.4259,11.4615,1.69411,0.349509,1.00749,32.0405,15.6862,8.62076,0.282559,1.76239,14.4628,6.74335,3.29837,0.815654,0.687533,22.7442,5.02708,3.63408,1.25122,1.95569,22.8298,7.26987,10.1574,2.62952,0.0599312,17.0139,5.464,1.53886,2.80748,3.61153,20.2207,4.3382,0.354593,0.133485,1.23258,22.4082,1.72354,1.38271,5.50907,2.62483,29.7767,3.25094,0.0253059,1.16117,1.13131,24.9062,6.37231,6.60853,0.473777,1.51988,28.825,14.8625,6.0227,0.714339,5.70362,20.422,7.71791,3.59528,2.42278,0.0702606,27.601,4.31056,4.23019,0.0907381,2.80155,9.55155,4.75187,4.38402,3.42667,4.92263,8.42594,1.27348,1.92232,3.27106,6.09758,1.77886,0.676269,0.638666,1.09208,3.55901,17.61,2.19906,6.54096,2.58093,0.48531,13.8763,7.04508,2.35911,3.29232,3.03211,6.44496,1.996,0.473189,4.58032,5.03013,13.2855,1.92917,0.573707,0.42764,3.70339,31.384,4.69703,4.72935,2.90073,0.964022,9.14968,8.85351,12.0901,0.308822,2.52786,9.86609,4.10229,4.06525,0.530734,6.74875,3.47662,1.87162,5.02495,0.564816,3.03704,6.64479,0.594421,3.44293,0.0524122,1.48758,1.63118,2.61864,4.26687,4.23559,5.37998,2.08392,1.64589
