TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.487619048,-305.544,41.7484,-15.8492,4.62353,-18.708,19.8674,-24.6831,3.78818,-6.85512,-13.6852,0.133344,-5.15143,-13.4017,-9.31522,-4.14732,-8.04995,-10.0423,15.4838,-11.0007,5.26325,1.35536
0.510839002,-306.921,39.862,-12.3314,10.0109,-16.2418,14.9713,-25.4175,0.556671,-6.38876,-14.5969,-2.0244,-3.72178,-13.2032,-4.16631,-6.74289,-7.7563,-8.01412,12.6958,-10.6337,7.51113,0.795743
0.534058957,-264.965,33.9157,-26.8487,9.19196,-18.1358,7.20778,-20.9196,6.41249,-9.71109,-12.5532,-5.18078,0.133715,-9.69688,-5.3767,-6.69548,-4.77977,-6.88015,6.60357,-9.24468,3.60203,-1.85275
0.557278912,-264.091,38.5568,-29.2408,-2.6404,-20.2197,9.95982,-22.0426,12.2812,-12.5747,-12.674,-0.936197,-4.90336,-6.85258,-7.74566,-5.98184,-5.68247,-5.34855,3.2804,-7.1367,3.16859,-4.02747
0.580498866,-280.195,44.7155,-32.5845,8.73203,-30.3324,8.13171,-21.075,13.2006,-12.6203,-15.9544,3.65454,-8.71432,-0.763838,-7.83143,-2.39084,-8.01661,-3.52352,3.72564,-4.30319,3.33413,-2.28347
0.603718821,-287.783,49.4594,-37.055,4.10471,-35.0806,9.18683,-24.0657,17.5871,-12.5061,-18.2445,0.8553,-10.5654,1.37184,-7.39524,3.68512,-13.4408,-1.00868,-0.150582,-1.87378,0.54641,0.200643
0.626938776,-298.575,52.8754,-27.0518,5.36703,-34.3178,8.57301,-26.936,19.3904,-9.79445,-19.3719,2.01297,-10.8593,-2.92415,-6.98481,3.93875,-12.6466,-2.54268,1.63669,-4.2329,-0.0156532,1.53139
0.650158730,-307.516,46.2392,-17.7413,0.225987,-25.9613,2.68517,-23.7402,14.8408,-6.43869,-13.475,4.54584,-15.7836,-7.3618,-2.32245,-2.79505,-5.11367,-4.43834,2.97877,-11.5771,3.58024,-3.37638
0.673378685,-292.788,43.8394,-15.6726,2.40174,-22.9171,-2.49797,-26.1324,10.8542,-10.5872,-12.981,3.32355,-15.4413,-7.28645,3.35607,-0.502236,-7.61447,-5.02404,3.95181,-12.086,6.90558,-7.5661
0.696598639,-307.903,44.2658,-9.51272,4.56464,-15.3858,4.38182,-26.8877,15.0678,-9.43559,-17.4969,2.46212,-12.0615,-8.50466,3.43277,0.935279,-8.88772,-3.61986,8.03631,-15.8965,5.84498,-7.37966
0.719818594,-316.356,43.8941,-8.53557,10.6103,-15.1214,10.5442,-26.8511,10.3124,-9.74928,-17.398,5.99863,-9.09707,-6.80429,-0.877881,2.23042,-10.5907,-2.92787,5.6061,-14.4848,1.62654,-7.58567
0.743038549,-303.034,37.192,-8.10693,3.98509,-6.67426,6.00208,-19.6688,3.88384,-10.8881,-7.93374,-0.978834,-5.1552,-8.95782,1.92595,-3.21618,-4.59128,-4.86329,5.42644,-11.4472,-2.69818,-4.51738
