Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:125nmYAaZVIwLXVyLf6PDc,"Anorak","Ik Zou Voor Veel Kunnen Sterven Maar Niet Voor Een Vlag","Sef;Willem",2023-02-02,125056,41,false,11164375455,2026-03-23T19:10:19Z,"nederpop,neue deutsche welle","Top Notch Music BV",0.744,0.694,1,-8.482,0,0.202,0.168,0.000121,0.124,0.839,110.046,4
spotify:track:072XjMU0RR8HTAW9pTQytO,"Underdog Superster Asterisk","Ik Zou Voor Veel Kunnen Sterven Maar Niet Voor Een Vlag","Sef",2023-02-02,140102,29,true,11164375455,2026-03-23T19:10:19Z,"nederpop","Top Notch Music BV",0.53,0.858,2,-8.239,0,0.342,0.162,0.0165,0.819,0.488,199.995,4
spotify:track:2d1x40uqQXcTQPXeUdlRUq,"Land Dat Niet Bestaat","Ik Zou Voor Veel Kunnen Sterven Maar Niet Voor Een Vlag","Sef",2023-02-02,145646,36,false,11164375455,2026-03-23T19:10:19Z,"nederpop","Top Notch Music BV",0.828,0.727,10,-7.891,0,0.376,0.373,0.0000108,0.0708,0.803,107.995,4
spotify:track:06J5ywW2GMBRfFWng6Lxyu,"Code Of Honour","9","Joe James",2023-01-20,213333,15,true,11164375455,2026-03-23T19:10:19Z,"grime","ooo",0.605,0.364,4,-13.713,0,0.378,0.496,0.0859,0.128,0.455,119.225,5
spotify:track:0pprNYhVAk7SFtVLtEnyfC,"Kipstraat","Kipstraat","Kevin;JoeyAK",2023-03-02,207437,47,true,11164375455,2026-03-23T19:10:19Z,"","Animal Stories / Noah’s Ark BV",0.645,0.475,8,-5.794,1,0.183,0.0838,0.00105,0.494,0.476,169.926,4
spotify:track:4A1ICEuWuTWEWnXiQ4w6Fs,"Stop Drugs (In Me Gezicht)","Niet Geslapen Wel Gedoucht","Gotu Jim;Zeldzame",2023-01-13,192000,12,true,11164375455,2026-03-23T19:10:19Z,"hard house,nederpop","Burning Fik",0.645,0.52,2,-7.367,0,0.0324,0.231,0.0000574,0.0892,0.264,139.945,4
spotify:track:4MLcckXvifT6xfZfIrTK98,"Legokastelen","<3","Faberyayo",2019-06-28,189513,25,false,11164375455,2026-03-23T19:10:19Z,"nederpop","Magnetron Music",0.831,0.258,4,-10.405,1,0.101,0.812,0.0178,0.0883,0.63,145.921,4
spotify:track:0HxlygG0MffYR6BffSGzuL,"Regen Op Warm Asfalt","De Ark De Triomf","Jiggy Djé",2009-01-01,278066,39,false,11164375455,2026-03-23T19:10:19Z,"maluku,nederpop,hollands","Noah's Ark BV",0.701,0.504,5,-10.861,0,0.335,0.412,0.00000128,0.359,0.225,91.992,4
spotify:track:1dt33fni648jHSWqkXWljd,"Achter De Wolken","Man In Nood","Willem",2018-10-26,268355,36,false,11164375455,2026-03-23T19:10:19Z,"neue deutsche welle,nederpop","Top Notch Music BV",0.773,0.594,0,-11.67,0,0.317,0.868,0.00209,0.661,0.537,160.119,4
spotify:track:4O7FSN8jc6uK3XlHqA7N06,"Stang","Stang","Abel",2020-05-15,127622,25,true,11164375455,2026-03-23T19:10:19Z,"nederpop","Burning Fik",0.617,0.707,9,-6.396,1,0.183,0.259,0.0912,0.114,0.746,83.747,4
