Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0bxmVPKnEopTyuMMkaTvUb,"Issues/Hold On","K.T.S.E.","Teyana Taylor",2018-06-23,185979,62,true,11164375455,2026-03-23T19:19:25Z,"","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.518,0.523,7,-4.82,1,0.0528,0.833,0.00000149,0.103,0.692,93.185,4
spotify:track:0SdxAcV6Ef4xu8CklaiQLW,"peppermint","all will be well","lavender;Mick Jenkins",2022-02-17,135524,43,false,11164375455,2026-03-23T19:19:25Z,"lo-fi indie,indie r&b","foundation.fm records",0.49,0.507,4,-8.076,1,0.167,0.852,0.00000474,0.0991,0.495,104.483,4
spotify:track:4f4Bi31UHFKDHNO0k3oHwi,"Growing","Growing","JGrrey",2018-04-12,196000,38,false,11164375455,2026-03-23T19:19:25Z,"britse r&b","JGrrey",0.426,0.44,5,-6.705,1,0.192,0.719,0.000182,0.0781,0.547,171.969,4
spotify:track:4svk9KGtIVSEoeG2VjIUSy,"A Storm on a Summers Day","A Storm on a Summers Day","Full Crate;Gaidaa",2018-06-07,178355,65,false,11164375455,2026-03-23T19:19:25Z,"indie r&b,alternative r&b","85 Oceans",0.726,0.295,0,-14.504,1,0.219,0.696,0.000356,0.172,0.138,115.067,4
spotify:track:1EeS8SQ0BAhNrLVLCNrxrj,"Morning Matters","Morning Matters","Yazmin Lacey",2020-02-27,246800,57,false,11164375455,2026-03-23T19:19:25Z,"indiesoul,jazzpop,neo soul,alternative r&b,britse r&b","Own Your Own Records",0.624,0.556,5,-9.095,0,0.0947,0.521,0.0449,0.298,0.472,86.048,4
spotify:track:7bChzDoU4kJ5zBbQyN0ASl,"So Cool","So Cool","Reuben James",2020-05-01,130119,0,false,11164375455,2026-03-23T19:19:25Z,"britse r&b,neo soul","Rightsy",0.779,0.471,1,-11.706,1,0.134,0.8,0.0018,0.111,0.859,82.953,4
spotify:track:0gZcAOhjbDoLGzCQ0VW2J6,"No Hands","Perception EP","Joy Crookes",2019-05-31,131097,55,false,11164375455,2026-03-23T19:19:25Z,"alternative r&b","Speakerbox Recordings",0.747,0.656,5,-9.217,0,0.0959,0.579,0,0.244,0.802,94.016,4
spotify:track:6l4TNbfPtNAOOlGIfceSaO,"Ascension (Don't Ever Wonder) - Remastered 2021","Maxwell's Urban Hang Suite","Maxwell",1996-04-02,345975,68,false,11164375455,2026-03-23T19:19:25Z,"neo soul,quiet storm,r&b","Columbia",0.762,0.459,0,-10.307,1,0.0379,0.111,0.0219,0.147,0.749,96.069,4
spotify:track:5ClZwmzD1RE1cvk8ySjSXO,"Be Myself","The Silhouettes Project, Vol. 2","The Silhouettes Project;Nix Northwest;TAMBALA",2024-02-16,227835,28,true,11164375455,2026-03-23T19:19:25Z,"jazz rap,indie r&b,lo-fi beats,lo-fi hiphop","Root 73 Ltd",0.697,0.532,9,-7.751,0,0.259,0.545,0.125,0.112,0.555,89.912,4
spotify:track:2NzyHj8SeYSglPBTSCzAZR,"Complicated","Drive","Raiche",2019-03-01,250108,25,false,11164375455,2026-03-23T19:19:25Z,"","Genre Defying Entertainment / Island Prolific, LLC",0.457,0.562,6,-5.883,0,0.12,0.518,0,0.266,0.335,78.605,4
spotify:track:4GSEf95lL4csXQlT2RGfOe,"Cinnamon Curls","Cinnamon Curls","Tom Misch",2024-06-13,246586,0,false,11164375455,2026-03-23T19:19:25Z,"indiesoul","Beyond The Groove",0.649,0.562,1,-8.113,0,0.0477,0.354,0.333,0.112,0.34,72.992,4
spotify:track:5rYTMjVkGioNF4MpSQISlg,"Desoleil (Brilliant Corners)","Not Waving, But Drowning","Loyle Carner;Sampha",2019-04-19,220401,60,true,11164375455,2026-03-23T19:19:25Z,"jazz rap,indiesoul","AMF",0.826,0.483,8,-11.298,0,0.371,0.609,0.0000377,0.145,0.116,131.883,3
spotify:track:0pvgbTB2y9DNDDXb9T7FJW,"All Roads","All Roads","Lucy Park",2023-08-04,197120,53,false,11164375455,2026-03-23T19:19:25Z,"indie r&b,alternative r&b","After Dinner Records",0.869,0.634,8,-9.29,0,0.19,0.35,0.439,0.0878,0.785,104.042,4
spotify:track:6aFSowELvdvpqnVCPHCIaO,"Can't Hide My Love","Can't Hide My Love","mei anima",2024-02-09,158608,47,false,11164375455,2026-03-23T19:19:25Z,"","MA Music",0.914,0.428,5,-7.745,0,0.0435,0.0969,0.117,0.0896,0.482,115.01,4
spotify:track:2K6Nk2bR9xPE39EY9mARVa,"Sweet Lies","Londra","Qendresa",2024-11-28,221772,60,false,11164375455,2026-03-23T19:19:25Z,"alternative r&b","dream city discs",0.622,0.632,5,-8.884,0,0.0328,0.358,0.787,0.0994,0.863,158.035,4
spotify:track:3qQBrLHXWZWRfV24UJzGUs,"Rain in Cuba","Current Blues","Joe Hertz;Barney Artist;Sam Wills;Blue Lab Beats",2020-07-17,231784,37,false,11164375455,2026-03-23T19:19:25Z,"indiesoul,jazz rap,nu jazz,indie jazz,jazzbeats","Juicebox Recordings",0.486,0.517,7,-7.803,1,0.174,0.573,0.0000261,0.0813,0.155,83.729,4
spotify:track:4IsAXYXHfMZjGMv3H5Qxol,"Comme Toi","Comme Toi","Gabriela Richardson;Lewis OfMan",2025-05-15,168100,15,false,11164375455,2026-03-23T19:19:25Z,"franse indiepop","Virgin Music Spain",0.777,0.269,0,-8.141,1,0.0451,0.562,0,0.296,0.402,126.132,4
spotify:track:7cSgw8IYwl1ICzc92ROGVB,"Friends","Friends","DON WEST",2024-09-04,213258,69,false,11164375455,2026-03-23T19:19:25Z,"retrosoul","Mandatory Music",0.718,0.527,5,-10.347,0,0.0547,0.484,0.0671,0.0844,0.804,151.037,4
spotify:track:68sOQ9M10Uy7eL8rhaWdyj,"Mathematics (feat. Kano)","Mathematics (feat. Kano)","Joy Crookes;Kano",2025-02-05,198751,42,true,11164375455,2026-03-23T19:19:25Z,"alternative r&b,grime,britse grime","Speakerbox Recordings",0.606,0.408,0,-8.979,1,0.0486,0.477,0.00226,0.105,0.429,139.644,4
spotify:track:5sMeEciG2wH0kW9UP83UHz,"Venice","Venice","Kofi Stone;Maverick Sabre",2025-10-03,209589,38,false,11164375455,2026-03-23T19:19:25Z,"jazz rap","Tru Community",0.78,0.226,2,-16.847,1,0.0675,0.852,0.0297,0.099,0.755,85.029,4
spotify:track:1bxQtlnSdrDxV4vOc3IksQ,"Never Love","Never Love","DON WEST",2025-10-08,210203,53,false,11164375455,2026-03-23T19:19:25Z,"retrosoul","Mandatory Music",0.637,0.836,11,-5.272,0,0.029,0.0611,0.00187,0.271,0.89,96.986,4
spotify:track:2BRlr1GWfNxtZllyf5YB17,"Changes","Changes","Stefan Sands",2024-05-24,212000,61,true,11164375455,2026-03-23T19:19:25Z,"retrosoul","Vokall Records",0.775,0.495,1,-8.114,0,0.116,0.845,0.00637,0.113,0.494,87.988,4
